numCommande;nomClient;numTelClient;mailClient;adresseClient;codePostalClient;villeClient;dateCommande;datePaiement;dateRealisation;nomDestinataire;numTelDestinataire;adresseDestinataire;codePostalDestinataire;villeDestinataire;dateLivraisonEffective
17;Boutique Magasin Secret;"0755521343";magasin_secret@sfr.fr;34, Rue du Général de Gaulle;69007;Lyon 7eme;10/12/2020;23/12/2020;30/12/2020;Boutique Magasin Secret;"0755521343";34, Rue du Général de Gaulle;69007;Lyon 7eme;04/01/2021
18;Guilbert;"0619409883";guilbert@icloud.com;18, Rue de la Chapelle;69250;Neuville-sur-Saône;11/12/2020;14/12/2020;21/12/2020;;"";;;;
19;Boutique Magasin Secret;"0755521343";magasin_secret@sfr.fr;34, Rue du Général de Gaulle;69007;Lyon 7eme;11/12/2020;22/12/2020;07/01/2021;;"";;;;
20;Mottet;"0672745223";mottet@gmail.com;39, Rue des Agriculteurs;69330;Meyzieu;15/12/2020;16/12/2020;21/12/2020;Clerc;"0625973429";49, Avenue de Nantes;69500;Bron;24/12/2020
21;Blanc;"0692609392";blanc@protonmail.com;26, Rue Saint-Victor;69380;Lissieu;15/12/2020;28/12/2020;31/12/2020;Lefevre;"0749019326";49, Rue du Progrès;69730;Genay;05/01/2021
22;Boyer;"0675016227";boyer@bbox.fr;2, Rue du 8 Mai 1945;69580;Sathonay-Village;16/12/2020;24/12/2020;31/12/2020;Bois;"0729172337";2, Rue des Médecins;69410;Champagne-au-Mont-d'Or;06/01/2021
23;Leblanc;"0711308496";leblanc@sfr.fr;23, Boulevard Jean Jaurès;69890;La Tour-de-Salvagny;18/12/2020;30/12/2020;31/12/2020;Leblanc;"0711308496";23, Boulevard Jean Jaurès;69890;La Tour-de-Salvagny;04/01/2021
24;Rogers;"0642236192";rogers@orange.fr;15, Rue Saint-Gervais;69500;Bron;18/12/2020;30/12/2020;06/01/2021;;"";;;;
25;Gilbert;"0723974406";gilbert@laposte.net;17, Avenue de Clermont;69320;Feyzin;21/12/2020;29/12/2020;08/01/2021;Renard;"0790893058";11, Rue des Orchidées;69270;Fontaines-sur-Saône;08/01/2021
26;Boutique Instant Précieux;"0613845064";instant_précieux@free.fr;37, Rue Saint-Gervais;69730;Genay;22/12/2020;31/12/2020;04/01/2021;Boutique Instant Précieux;"0613845064";37, Rue Saint-Gervais;69730;Genay;04/01/2021
27;Lucas;"0692075293";lucas@orange.fr;14, Boulevard de la Marne;69001;Lyon 1er;24/12/2020;07/01/2021;13/01/2021;Boucher;"0638781559";27, Rue de la Convention;69570;Dardilly;18/01/2021
28;Lemoine;"0715303722";lemoine@orange.fr;29, Rue Saint-Nicolas;69110;Sainte-Foy-lès-Lyon;24/12/2020;07/01/2021;20/01/2021;Blanchard;"0668920585";1, Rue de la Lune;69410;Champagne-au-Mont-d'Or;25/01/2021
29;Boutique Coin Précieux;"0785431549";coin_précieux@sfr.fr;21, Avenue de Lowendal;69350;La Mulatière;24/12/2020;08/01/2021;21/01/2021;Boutique Coin Précieux;"0785431549";21, Avenue de Lowendal;69350;La Mulatière;25/01/2021
30;Gauthier;"0696977450";gauthier@yahoo.com;39, Rue Saint-Simon;69450;Saint-Cyr-au-Mont-d'Or;28/12/2020;05/01/2021;08/01/2021;Petit;"0688609527";20, Rue Saint-Maurice;69380;Lissieu;12/01/2021
31;Boutique Parfum Secret;"0662111918";parfum_secret@yahoo.com;27, Rue des Bois;69006;Lyon 6eme;28/12/2020;07/01/2021;11/01/2021;Boutique Parfum Secret;"0662111918";27, Rue des Bois;69006;Lyon 6eme;13/01/2021
32;Vallée;"0620818268";vallée@icloud.com;47, Rue du Général de Gaulle;69008;Lyon 8eme;28/12/2020;08/01/2021;13/01/2021;Fournier;"0732561177";36, Boulevard de la Paix;69160;Tassin-la-Demi-Lune;18/01/2021
33;Marty;"0637773108";marty@sfr.fr;41, Avenue de Bordeaux;69700;Givors;29/12/2020;11/01/2021;15/01/2021;;"";;;;
34;Boutique Instant Précieux;"0613845064";instant_précieux@free.fr;37, Rue Saint-Gervais;69730;Genay;31/12/2020;04/01/2021;13/01/2021;Boutique Instant Précieux;"0613845064";37, Rue Saint-Gervais;69730;Genay;14/01/2021
35;Boutique Fabrique de Rêves;"0648624826";fabrique_de_rêves@bbox.fr;47, Rue Sainte-Marie;69360;Solaize;31/12/2020;11/01/2021;18/01/2021;;"";;;;
36;Restaurant Table Enchantée;"0720276574";table_enchantée@icloud.com;5, Rue Saint-Jacques;69540;Irigny;31/12/2020;13/01/2021;18/01/2021;;"";;;;
37;Boutique Coin Précieux;"0785431549";coin_précieux@sfr.fr;21, Avenue de Lowendal;69350;La Mulatière;04/01/2021;04/01/2021;06/01/2021;;"";;;;
38;Debord;"0724559153";debord@orange.fr;48, Avenue de Ségur;69005;Lyon 5eme;04/01/2021;04/01/2021;11/01/2021;Debord;"0724559153";48, Avenue de Ségur;69005;Lyon 5eme;11/01/2021
39;Boutique Perle Rare;"0668612082";perle_rare@orange.fr;27, Rue des Soldats;69500;Bron;04/01/2021;07/01/2021;13/01/2021;;"";;;;
40;Boutique Bazar et Création;"0759759346";bazar_et_création@sfr.fr;38, Rue Victor Hugo;69200;Vénissieux;04/01/2021;07/01/2021;18/01/2021;Boutique Bazar et Création;"0759759346";38, Rue Victor Hugo;69200;Vénissieux;19/01/2021
41;Lemoine;"0715303722";lemoine@orange.fr;29, Rue Saint-Nicolas;69110;Sainte-Foy-lès-Lyon;04/01/2021;07/01/2021;19/01/2021;Menet;"0658312903";24, Boulevard des Anglais;69006;Lyon 6eme;19/01/2021
42;Restaurant Mets Épicuriens;"0734206304";mets_épicuriens@bbox.fr;15, Rue du 11 Novembre 1918;69380;Lissieu;04/01/2021;12/01/2021;20/01/2021;;"";;;;
43;Boutique Tendance et Cie;"0766092349";tendance_et_cie@protonmail.com;28, Rue des Coquelicots;69680;Chassieu;05/01/2021;06/01/2021;13/01/2021;Boutique Tendance et Cie;"0766092349";28, Rue des Coquelicots;69680;Chassieu;13/01/2021
44;Boutique Esprit Bohème;"0719312161";esprit_bohème@bbox.fr;8, Boulevard des Martyrs;69230;Saint-Genis-Laval;05/01/2021;06/01/2021;18/01/2021;;"";;;;
45;Boutique Comptoir de Mode;"0660162941";comptoir_de_mode@gmail.com;13, Rue Saint-Sébastien;69230;Saint-Genis-Laval;05/01/2021;06/01/2021;19/01/2021;;"";;;;
46;Boutique Comptoir de Mode;"0660162941";comptoir_de_mode@gmail.com;13, Rue Saint-Sébastien;69230;Saint-Genis-Laval;05/01/2021;11/01/2021;22/01/2021;Boutique Comptoir de Mode;"0660162941";13, Rue Saint-Sébastien;69230;Saint-Genis-Laval;22/01/2021
47;Boutique Bazar et Création;"0759759346";bazar_et_création@sfr.fr;38, Rue Victor Hugo;69200;Vénissieux;06/01/2021;12/01/2021;14/01/2021;Boutique Bazar et Création;"0759759346";38, Rue Victor Hugo;69200;Vénissieux;15/01/2021
48;Boutique Atelier de Luxe;"0665727410";atelier_de_luxe@protonmail.com;49, Rue des Tilleuls;69120;Vaulx-en-Velin;06/01/2021;12/01/2021;21/01/2021;;"";;;;
49;Boutique Magasin Secret;"0755521343";magasin_secret@sfr.fr;34, Rue du Général de Gaulle;69007;Lyon 7eme;06/01/2021;13/01/2021;19/01/2021;Boutique Magasin Secret;"0755521343";34, Rue du Général de Gaulle;69007;Lyon 7eme;19/01/2021
50;Guerin;"0756352637";guerin@orange.fr;24, Rue des Étoiles;69540;Irigny;07/01/2021;11/01/2021;15/01/2021;Guerin;"0756352637";24, Rue des Étoiles;69540;Irigny;15/01/2021
51;Dubois;"0692607439";dubois@laposte.net;3, Rue des Martyrs;69760;Limonest;08/01/2021;11/01/2021;21/01/2021;Dubois;"0692607439";3, Rue des Martyrs;69760;Limonest;22/01/2021
52;Boutique Bazar et Création;"0759759346";bazar_et_création@sfr.fr;38, Rue Victor Hugo;69200;Vénissieux;08/01/2021;12/01/2021;20/01/2021;Boutique Bazar et Création;"0759759346";38, Rue Victor Hugo;69200;Vénissieux;21/01/2021
53;Meyer;"0610953253";meyer@orange.fr;16, Rue de la Chapelle;69160;Tassin-la-Demi-Lune;08/01/2021;18/01/2021;27/01/2021;Meyer;"0610953253";16, Rue de la Chapelle;69160;Tassin-la-Demi-Lune;29/01/2021
54;Deschamps;"0696182788";deschamps@hotmail.com;8, Rue des Bleuets;69160;Tassin-la-Demi-Lune;11/01/2021;19/01/2021;27/01/2021;Deschamps;"0696182788";8, Rue des Bleuets;69160;Tassin-la-Demi-Lune;28/01/2021
55;Descamps;"0766585806";descamps@orange.fr;38, Rue du Général de Gaulle;69280;Marcy-l'Étoile;12/01/2021;19/01/2021;25/01/2021;Descamps;"0766585806";38, Rue du Général de Gaulle;69280;Marcy-l'Étoile;25/01/2021
56;Restaurant Table Enchantée;"0720276574";table_enchantée@icloud.com;5, Rue Saint-Jacques;69540;Irigny;13/01/2021;15/01/2021;22/01/2021;;"";;;;
57;Boutique Instant Précieux;"0613845064";instant_précieux@free.fr;37, Rue Saint-Gervais;69730;Genay;13/01/2021;25/01/2021;29/01/2021;Boutique Instant Précieux;"0613845064";37, Rue Saint-Gervais;69730;Genay;29/01/2021
58;Joly;"0644846114";joly@outlook.com;42, Rue du Puits;69700;Givors;14/01/2021;21/01/2021;22/01/2021;Joly;"0644846114";42, Rue du Puits;69700;Givors;22/01/2021
59;Boutique Coin Précieux;"0785431549";coin_précieux@sfr.fr;21, Avenue de Lowendal;69350;La Mulatière;14/01/2021;27/01/2021;29/01/2021;;"";;;;
60;Restaurant Jardin des Délices;"0716141429";jardin_des_délices@hotmail.com;19, Boulevard du Maréchal Pétain;69250;Neuville-sur-Saône;15/01/2021;15/01/2021;18/01/2021;;"";;;;
61;François;"0658732580";françois@free.fr;43, Boulevard du Président Wilson;69890;La Tour-de-Salvagny;18/01/2021;19/01/2021;25/01/2021;Masson;"0641892925";45, Avenue de Clermont;69006;Lyon 6eme;26/01/2021
62;Guitton;"0788433940";guitton@orange.fr;2, Boulevard des Déportés;69002;Lyon 2eme;18/01/2021;20/01/2021;22/01/2021;;"";;;;
63;Duval;"0659520096";duval@sfr.fr;8, Avenue de la Division Leclerc;69008;Lyon 8eme;18/01/2021;27/01/2021;29/01/2021;Duval;"0659520096";8, Avenue de la Division Leclerc;69008;Lyon 8eme;29/01/2021
64;Mottet;"0672745223";mottet@gmail.com;39, Rue des Agriculteurs;69330;Meyzieu;19/01/2021;26/01/2021;29/01/2021;;"";;;;
65;Vallée;"0620818268";vallée@icloud.com;47, Rue du Général de Gaulle;69008;Lyon 8eme;20/01/2021;21/01/2021;29/01/2021;Caron;"0736175261";6, Boulevard des Ardennes;69500;Bron;29/01/2021
66;Boutique Fabrique de Rêves;"0648624826";fabrique_de_rêves@bbox.fr;47, Rue Sainte-Marie;69360;Solaize;20/01/2021;28/01/2021;29/01/2021;Boutique Fabrique de Rêves;"0648624826";47, Rue Sainte-Marie;69360;Solaize;29/01/2021
67;Boutique Fabrique de Rêves;"0648624826";fabrique_de_rêves@bbox.fr;47, Rue Sainte-Marie;69360;Solaize;21/01/2021;25/01/2021;28/01/2021;;"";;;;
68;Brochet;"0768399605";brochet@yahoo.com;29, Boulevard des Alpes;69660;Collonges-au-Mont-d'Or;22/01/2021;27/01/2021;29/01/2021;;"";;;;
69;Boutique Esprit Bohème;"0719312161";esprit_bohème@bbox.fr;8, Boulevard des Martyrs;69230;Saint-Genis-Laval;25/01/2021;25/01/2021;26/01/2021;Boutique Esprit Bohème;"0719312161";8, Boulevard des Martyrs;69230;Saint-Genis-Laval;29/01/2021
70;Descamps;"0766585806";descamps@orange.fr;38, Rue du Général de Gaulle;69280;Marcy-l'Étoile;25/01/2021;25/01/2021;29/01/2021;;"";;;;
71;Debord;"0724559153";debord@orange.fr;48, Avenue de Ségur;69005;Lyon 5eme;25/01/2021;28/01/2021;29/01/2021;;"";;;;
72;Charron;"0772051520";charron@free.fr;17, Rue de la Commune;69002;Lyon 2eme;25/01/2021;28/01/2021;29/01/2021;Garnier;"0790892437";15, Rue du Pont;69100;Villeurbanne;29/01/2021
73;Boutique Esprit Bohème;"0719312161";esprit_bohème@bbox.fr;8, Boulevard des Martyrs;69230;Saint-Genis-Laval;25/01/2021;28/01/2021;29/01/2021;Boutique Esprit Bohème;"0719312161";8, Boulevard des Martyrs;69230;Saint-Genis-Laval;29/01/2021
74;Boutique Esprit Bohème;"0719312161";esprit_bohème@bbox.fr;8, Boulevard des Martyrs;69230;Saint-Genis-Laval;26/01/2021;26/01/2021;29/01/2021;Boutique Esprit Bohème;"0719312161";8, Boulevard des Martyrs;69230;Saint-Genis-Laval;29/01/2021
75;Rey;"0742332157";rey@sfr.fr;5, Rue de la Révolution;69680;Chassieu;26/01/2021;28/01/2021;29/01/2021;Rey;"0742332157";5, Rue de la Révolution;69680;Chassieu;29/01/2021
76;François;"0658732580";françois@free.fr;43, Boulevard du Président Wilson;69890;La Tour-de-Salvagny;26/01/2021;28/01/2021;29/01/2021;François;"0658732580";43, Boulevard du Président Wilson;69890;La Tour-de-Salvagny;29/01/2021
77;Lucas;"0692075293";lucas@orange.fr;14, Boulevard de la Marne;69001;Lyon 1er;27/01/2021;27/01/2021;29/01/2021;Lucas;"0692075293";14, Boulevard de la Marne;69001;Lyon 1er;29/01/2021
78;Boutique Coin Précieux;"0785431549";coin_précieux@sfr.fr;21, Avenue de Lowendal;69350;La Mulatière;27/01/2021;28/01/2021;29/01/2021;Boutique Coin Précieux;"0785431549";21, Avenue de Lowendal;69350;La Mulatière;29/01/2021
79;Jacquet;"0796799393";jacquet@outlook.com;44, Rue des Soldats;69280;Marcy-l'Étoile;27/01/2021;28/01/2021;29/01/2021;Benedetti;"0781632325";43, Rue des Orchidées;69520;Grigny-sur-Rhône;29/01/2021
80;Boutique Éclat et Élégance;"0735456380";éclat_et_élégance@protonmail.com;8, Rue des Merles;69007;Lyon 7eme;01/10/2021;11/10/2021;25/10/2021;Boutique Éclat et Élégance;"0735456380";8, Rue des Merles;69007;Lyon 7eme;27/10/2021
81;Boutique Instant Précieux;"0613845064";instant_précieux@free.fr;37, Rue Saint-Gervais;69730;Genay;01/10/2021;12/10/2021;14/10/2021;;"";;;;
82;Boutique Atelier de Luxe;"0665727410";atelier_de_luxe@protonmail.com;49, Rue des Tilleuls;69120;Vaulx-en-Velin;04/10/2021;07/10/2021;13/10/2021;Boutique Atelier de Luxe;"0665727410";49, Rue des Tilleuls;69120;Vaulx-en-Velin;14/10/2021
83;Martin;"0635242367";martin@sfr.fr;31, Rue des Poilus;69150;Décines-Charpieu;04/10/2021;08/10/2021;11/10/2021;Gauthier;"0696977450";39, Rue Saint-Simon;69450;Saint-Cyr-au-Mont-d'Or;13/10/2021
84;Boutique Coin Précieux;"0785431549";coin_précieux@sfr.fr;21, Avenue de Lowendal;69350;La Mulatière;04/10/2021;14/10/2021;26/10/2021;Boutique Coin Précieux;"0785431549";21, Avenue de Lowendal;69350;La Mulatière;26/10/2021
85;Chauvin;"0730466148";chauvin@orange.fr;33, Rue des Chênes;69660;Collonges-au-Mont-d'Or;04/10/2021;14/10/2021;28/10/2021;;"";;;;
86;Boutique Comptoir de Mode;"0660162941";comptoir_de_mode@gmail.com;13, Rue Saint-Sébastien;69230;Saint-Genis-Laval;05/10/2021;08/10/2021;11/10/2021;Boutique Comptoir de Mode;"0660162941";13, Rue Saint-Sébastien;69230;Saint-Genis-Laval;13/10/2021
87;Boutique Esprit Bohème;"0719312161";esprit_bohème@bbox.fr;8, Boulevard des Martyrs;69230;Saint-Genis-Laval;05/10/2021;08/10/2021;22/10/2021;Boutique Esprit Bohème;"0719312161";8, Boulevard des Martyrs;69230;Saint-Genis-Laval;25/10/2021
88;Royer;"0725836057";royer@free.fr;39, Rue des Rossignols;69002;Lyon 2eme;05/10/2021;11/10/2021;19/10/2021;;"";;;;
89;Dufresne;"0641178956";dufresne@free.fr;37, Boulevard des Pyrénées;69320;Feyzin;05/10/2021;14/10/2021;28/10/2021;Dufresne;"0641178956";37, Boulevard des Pyrénées;69320;Feyzin;29/10/2021
90;Boucher;"0638781559";boucher@protonmail.com;27, Rue de la Convention;69570;Dardilly;05/10/2021;15/10/2021;29/10/2021;Caron;"0736175261";6, Boulevard des Ardennes;69500;Bron;02/11/2021
91;Dehousse;"0691450450";dehousse@sfr.fr;27, Avenue de Wagram;69190;Saint-Fons;06/10/2021;13/10/2021;21/10/2021;Boucher;"0638781559";27, Rue de la Convention;69570;Dardilly;22/10/2021
92;Boutique Coin Précieux;"0785431549";coin_précieux@sfr.fr;21, Avenue de Lowendal;69350;La Mulatière;06/10/2021;14/10/2021;28/10/2021;Boutique Coin Précieux;"0785431549";21, Avenue de Lowendal;69350;La Mulatière;02/11/2021
93;Blanchard;"0668920585";blanchard@gmail.com;1, Rue de la Lune;69410;Champagne-au-Mont-d'Or;06/10/2021;18/10/2021;19/10/2021;Brochet;"0768399605";29, Boulevard des Alpes;69660;Collonges-au-Mont-d'Or;22/10/2021
94;Renault;"0785024707";renault@orange.fr;32, Rue Saint-Charles;69140;Rillieux-la-Pape;08/10/2021;15/10/2021;21/10/2021;Renault;"0785024707";32, Rue Saint-Charles;69140;Rillieux-la-Pape;26/10/2021
95;Serrano;"0746767520";serrano@icloud.com;47, Rue des Instituteurs;69200;Vénissieux;08/10/2021;15/10/2021;25/10/2021;Dupuis;"0639509781";4, Rue Saint-Sébastien;69300;Caluire-et-Cuire;28/10/2021
96;Boutique Bazar et Création;"0759759346";bazar_et_création@sfr.fr;38, Rue Victor Hugo;69200;Vénissieux;11/10/2021;12/10/2021;26/10/2021;Boutique Bazar et Création;"0759759346";38, Rue Victor Hugo;69200;Vénissieux;29/10/2021
97;Boucher;"0638781559";boucher@protonmail.com;27, Rue de la Convention;69570;Dardilly;11/10/2021;14/10/2021;25/10/2021;Gilbert;"0723974406";17, Avenue de Clermont;69320;Feyzin;28/10/2021
98;Boutique Fabrique de Rêves;"0648624826";fabrique_de_rêves@bbox.fr;47, Rue Sainte-Marie;69360;Solaize;11/10/2021;25/10/2021;05/11/2021;;"";;;;
99;Boyer;"0675016227";boyer@bbox.fr;2, Rue du 8 Mai 1945;69580;Sathonay-Village;12/10/2021;12/10/2021;26/10/2021;Olivier;"0652790453";33, Rue des Violettes;69008;Lyon 8eme;26/10/2021
100;Delarue;"0651458072";delarue@outlook.com;39, Rue Saint-Simon;69450;Saint-Cyr-au-Mont-d'Or;12/10/2021;15/10/2021;22/10/2021;Delarue;"0651458072";39, Rue Saint-Simon;69450;Saint-Cyr-au-Mont-d'Or;25/10/2021
101;Gilbert;"0723974406";gilbert@laposte.net;17, Avenue de Clermont;69320;Feyzin;12/10/2021;15/10/2021;28/10/2021;Boutin;"0641072522";35, Rue Saint-Charles;69001;Lyon 1er;02/11/2021
102;Mallet;"0764950337";mallet@outlook.com;25, Rue Saint-Jean;69650;Saint-Germain-au-Mont-d'Or;12/10/2021;21/10/2021;29/10/2021;;"";;;;
103;Boutique Magasin Secret;"0755521343";magasin_secret@sfr.fr;34, Rue du Général de Gaulle;69007;Lyon 7eme;12/10/2021;25/10/2021;08/11/2021;;"";;;;
104;Courtois;"0794777965";courtois@outlook.com;43, Rue de la Fraternité;69260;Charbonnières-les-Bains;14/10/2021;25/10/2021;27/10/2021;Marchand;"0766682828";26, Avenue de Breteuil;69330;Meyzieu;02/11/2021
105;Baron;"0626079280";baron@laposte.net;30, Rue de la Concorde;69730;Genay;18/10/2021;22/10/2021;03/11/2021;Bouvier;"0673496436";20, Rue des Fleurs;69730;Genay;05/11/2021
106;Mallet;"0764950337";mallet@outlook.com;25, Rue Saint-Jean;69650;Saint-Germain-au-Mont-d'Or;18/10/2021;25/10/2021;03/11/2021;Mallet;"0764950337";25, Rue Saint-Jean;69650;Saint-Germain-au-Mont-d'Or;03/11/2021
107;Guitton;"0788433940";guitton@orange.fr;2, Boulevard des Déportés;69002;Lyon 2eme;18/10/2021;26/10/2021;03/11/2021;;"";;;;
108;Boutique Instant Précieux;"0613845064";instant_précieux@free.fr;37, Rue Saint-Gervais;69730;Genay;18/10/2021;02/11/2021;10/11/2021;Boutique Instant Précieux;"0613845064";37, Rue Saint-Gervais;69730;Genay;10/11/2021
109;Menet;"0658312903";menet@hotmail.com;24, Boulevard des Anglais;69006;Lyon 6eme;19/10/2021;21/10/2021;22/10/2021;Menet;"0658312903";24, Boulevard des Anglais;69006;Lyon 6eme;26/10/2021
110;Boutique Éclat et Élégance;"0735456380";éclat_et_élégance@protonmail.com;8, Rue des Merles;69007;Lyon 7eme;19/10/2021;25/10/2021;02/11/2021;Boutique Éclat et Élégance;"0735456380";8, Rue des Merles;69007;Lyon 7eme;02/11/2021
111;Bertin;"0773998194";bertin@laposte.net;18, Rue Pasteur;69009;Lyon 9eme;19/10/2021;25/10/2021;09/11/2021;Bernard;"0798767626";30, Avenue de Nantes;69540;Irigny;09/11/2021
112;Martinez;"0676324532";martinez@free.fr;26, Rue Saint-Lazare;69680;Chassieu;19/10/2021;26/10/2021;28/10/2021;Brochet;"0768399605";29, Boulevard des Alpes;69660;Collonges-au-Mont-d'Or;28/10/2021
113;Vallée;"0620818268";vallée@icloud.com;47, Rue du Général de Gaulle;69008;Lyon 8eme;19/10/2021;26/10/2021;03/11/2021;Vallée;"0620818268";47, Rue du Général de Gaulle;69008;Lyon 8eme;03/11/2021
114;Boucher;"0638781559";boucher@protonmail.com;27, Rue de la Convention;69570;Dardilly;19/10/2021;29/10/2021;03/11/2021;Boucher;"0638781559";27, Rue de la Convention;69570;Dardilly;04/11/2021
115;Ziegler;"0792431240";ziegler@protonmail.com;48, Boulevard des Alpes;69140;Rillieux-la-Pape;20/10/2021;21/10/2021;29/10/2021;Picard;"0735607975";41, Rue des Merles;69290;Craponne;02/11/2021
116;Restaurant Esprit du Sud;"0620605888";esprit_du_sud@protonmail.com;24, Boulevard Jean Jaurès;69410;Champagne-au-Mont-d'Or;20/10/2021;21/10/2021;03/11/2021;;"";;;;
117;Restaurant Gourmet Voyageur;"0759379292";gourmet_voyageur@outlook.com;25, Rue des Infirmières;69001;Lyon 1er;20/10/2021;28/10/2021;09/11/2021;;"";;;;
118;Gagnon;"0732683300";gagnon@outlook.com;2, Rue Saint-Simon;69680;Chassieu;21/10/2021;22/10/2021;02/11/2021;Gagnon;"0732683300";2, Rue Saint-Simon;69680;Chassieu;04/11/2021
119;Duval;"0659520096";duval@sfr.fr;8, Avenue de la Division Leclerc;69008;Lyon 8eme;21/10/2021;28/10/2021;03/11/2021;Mallet;"0764950337";25, Rue Saint-Jean;69650;Saint-Germain-au-Mont-d'Or;05/11/2021
120;Michel;"0622833179";michel@hotmail.com;25, Rue du Moulin;69680;Chassieu;21/10/2021;28/10/2021;08/11/2021;Michel;"0622833179";25, Rue du Moulin;69680;Chassieu;09/11/2021
121;Boutique Bazar et Création;"0759759346";bazar_et_création@sfr.fr;38, Rue Victor Hugo;69200;Vénissieux;21/10/2021;03/11/2021;09/11/2021;Boutique Bazar et Création;"0759759346";38, Rue Victor Hugo;69200;Vénissieux;10/11/2021
122;Richard;"0635337022";richard@orange.fr;2, Rue Saint-Sauveur;69960;Corbas;22/10/2021;25/10/2021;08/11/2021;Garnier;"0790892437";15, Rue du Pont;69100;Villeurbanne;08/11/2021
123;Boutique Parfum Secret;"0662111918";parfum_secret@yahoo.com;27, Rue des Bois;69006;Lyon 6eme;22/10/2021;26/10/2021;03/11/2021;Boutique Parfum Secret;"0662111918";27, Rue des Bois;69006;Lyon 6eme;05/11/2021
124;Serrano;"0746767520";serrano@icloud.com;47, Rue des Instituteurs;69200;Vénissieux;22/10/2021;26/10/2021;05/11/2021;Serrano;"0746767520";47, Rue des Instituteurs;69200;Vénissieux;05/11/2021
125;Simon;"0785242019";simon@yahoo.com;40, Rue des Orchidées;69290;Craponne;25/10/2021;02/11/2021;05/11/2021;Renard;"0790893058";11, Rue des Orchidées;69270;Fontaines-sur-Saône;08/11/2021
126;Renaud;"0658743912";renaud@icloud.com;48, Boulevard de la Marne;69003;Lyon 3eme;26/10/2021;26/10/2021;09/11/2021;;"";;;;
